label,weight,height
1762,215.0,65.0
1763,150.0,63.0
1767,164.0,69.0
1769,212.0,70.0
1770,109.5,63.0
1773,138.0,67.0
1774,120.0,62.0
1775,151.0,68.0
1777,188.0,72.0
1779,157.0,64.0
1780,118.5,64.0
1781,120.0,61.0
1782,132.5,62.5
1783,157.0,69.0
1784,262.0,72.0
1785,166.0,71.0
1786,159.0,69.0
1787,152.0,73.0
1789,155.0,66.0
1790,154.0,61.75
1791,75.0,58.0
1792,173.0,62.0
1793,142.0,67.0
1794,127.0,61.0
1797,133.5,55.5
1799,154.0,69.0
1800,138.0,64.0
1801,207.5,64.0
1802,129.5,65.0
1803,175.0,67.0
1805,165.0,70.0
1806,132.0,60.0
1808,173.5,62.0
1809,147.0,69.25
1810,182.5,65.0
1811,166.0,67.0
1812,173.0,63.0
1813,139.5,63.5
1818,131.0,69.0
1819,117.0,67.0
1821,141.5,63.5
1822,184.0,69.0
1823,122.0,63.0
1824,150.0,76.0
1825,97.0,60.0
1827,102.0,61.0
1828,153.0,65.5
1829,117.0,69.0
1830,202.0,71.5
1836,222.0,75.0
1839,179.5,68.0
1840,130.0,64.0
1841,102.0,63.0
1843,142.0,66.5
1844,178.0,68.0
1845,181.0,67.0
1846,173.0,72.0
1847,81.0,60.0
1850,72.0,55.0
1852,112.0,63.0
1854,159.5,66.0
1855,139.0,64.0
1856,131.0,66.0
1857,157.0,66.0
1860,165.0,65.5
1862,180.0,69.0
1864,118.5,61.5
1865,144.0,73.0
1866,140.5,62.0
1867,129.0,62.0
1870,187.0,70.0
1872,190.0,61.0
1873,150.0,62.0
1881,182.5,68.0
1882,127.5,64.0
1884,172.0,64.0
1885,123.5,64.0
1886,132.0,63.0
1887,163.5,68.5
1888,117.5,59.0
1889,137.0,65.0
1891,175.0,68.0
1893,351.0,67.0
1895,323.0,67.0
1896,181.0,64.0
1898,173.0,72.0
1899,136.0,65.0
1901,137.0,67.0
1902,169.0,69.0
1906,144.0,66.5
1907,187.0,68.0
1909,195.5,70.0
1910,124.5,65.0
1913,142.5,62.0
1914,115.0,64.0
1915,153.0,62.0
1916,144.0,65.0
1920,203.0,70.0
1921,212.0,68.0
1923,206.0,76.0
1924,96.0,61.0
1929,161.0,69.0
1931,118.5,64.0
1934,178.5,64.0
1935,128.5,63.5
1937,108.0,64.0
1938,204.5,67.0
1939,174.0,71.0
1940,140.0,63.0
1941,78.0,55.0
1943,274.5,61.0
1945,178.5,66.75
1946,158.0,62.0
1951,136.0,65.0
1952,178.0,66.75
1953,223.0,70.0
1954,175.0,70.0
1964,167.0,69.0
1967,131.0,66.0
1969,122.5,68.0
1973,138.0,66.0
1974,14.5,61.0
1975,144.0,70.0
1977,195.0,67.0
1979,187.0,74.0
1981,110.5,63.0
1983,129.5,65.0
1985,188.0,64.0
1986,139.5,70.0
1988,165.0,70.0
1990,162.0,66.0
1991,134.5,62.5
1993,121.0,66.0
1994,157.5,58.25
1996,171.0,70.0
1997,237.0,71.0
1998,120.0,64.5
1999,159.0,70.0
2000,153.5,63.75
2002,119.5,63.0
2003,126.5,69.0
2005,112.5,65.0
2006,100.0,62.0
2007,199.0,68.0
2008,120.0,64.0
2009,182.0,71.5
2010,112.0,62.0
2012,123.0,66.0
2013,139.0,64.0
2017,113.5,61.0
2018,184.0,69.0
2021,194.0,72.0
2022,303.0,68.5
2023,118.5,59.0
2024,172.5,69.0
2025,198.0,73.0
2026,148.5,66.5
2027,194.0,69.0
2028,198.0,65.0
2030,178.5,70.0
2031,136.5,66.0
2033,127.0,63.0
2034,204.0,68.0
2036,130.0,64.0
2037,123.0,82.0
2039,102.0,63.0
2040,110.0,63.0
2041,79.0,60.0
2042,157.0,71.0
2043,174.0,67.0
2045,147.5,66.0
2048,113.0,64.0
2050,165.0,64.0
2051,170.0,73.0
2052,135.0,65.0
2057,122.0,62.0
2058,153.0,67.0
2060,112.0,63.0
2061,108.0,63.0
2062,133.0,63.5
2064,202.0,69.0
2066,112.0,62.75
2067,142.0,66.0
2070,137.5,67.0
2071,102.0,65.0
2072,168.5,64.0
2073,189.0,72.5
2074,125.0,60.0
2077,182.0,66.0
2078,112.0,62.0
2079,126.0,63.0
2080,154.0,67.0
2082,142.0,65.0
2085,128.5,66.0
2087,152.0,66.0
2088,156.5,62.0
2090,212.0,73.25
2091,117.0,60.0
2092,159.5,69.0
2093,135.0,63.0
2094,162.0,69.0
2097,227.0,74.0
2098,188.0,63.0
2100,145.0,69.0
2101,152.0,70.5
2102,163.0,68.0
2104,152.0,67.0
2105,256.0,66.0
2106,154.0,66.0
2109,194.0,68.0
2110,137.0,67.0
2111,140.5,65.0
2114,129.0,61.0
2115,134.0,66.0
2116,210.0,73.0
2119,116.0,63.0
2121,145.0,63.0
2122,139.0,63.0
2124,175.0,69.0
2125,142.5,62.0
2126,87.5,64.0
2127,117.0,62.0
2128,138.0,68.0
2130,176.5,68.25
2131,164.0,66.0
2132,144.0,70.0
2133,236.0,61.0
2136,95.5,63.0
2137,248.0,74.0
2139,134.0,61.0
2141,134.0,69.0
2142,105.0,62.0
2143,126.0,62.0
2146,219.5,70.0
2147,143.5,67.0
2151,173.0,65.0
2152,274.5,61.0
2153,66.5,44.0
2154,118.0,61.0
2155,158.0,62.0
2157,113.0,63.0
2158,155.0,67.0
2160,221.5,69.0
2161,185.0,68.0
2162,112.0,66.0
2165,260.0,72.0
2167,109.0,58.0
2169,127.0,67.0
2170,128.5,62.0
2171,122.5,68.0
2172,194.0,64.0
2173,167.0,73.0
2175,258.0,73.5
2176,256.0,66.0
2178,134.0,61.0
2180,123.5,65.0
2181,131.0,63.0
2182,164.0,73.0
2183,182.0,67.0
2184,157.5,61.0
2185,125.5,64.0
2186,99.0,62.0
2189,144.0,68.0
2190,166.0,67.0
2191,162.0,66.0
2192,156.0,62.0
2193,143.5,64.0
2195,182.0,61.0
2196,147.0,68.0
2198,124.5,63.0
2200,196.0,73.0
2201,113.0,61.0
2203,172.0,65.0
2204,126.5,69.0
2205,163.0,63.0
2206,119.0,67.0
2208,186.0,65.0
2209,132.0,60.0
2211,71.5,55.0
2212,155.0,62.0
2213,162.0,64.0
2214,151.0,63.0
2215,218.5,63.0
2216,229.0,71.0
2218,193.5,71.0
2221,176.0,63.25
2223,114.0,64.0
2224,123.0,66.0
2225,151.5,66.25
2226,161.0,70.0
2227,121.5,69.0
2230,211.0,70.0
2231,106.0,64.0
2232,163.0,65.0
